backbone,condition,question_id,automatic_primary_eligible,order_hold,snapshot_agreement,semantic_state_n,physical_diagnostic_state_n,suite_15state_and,strict_suite_15state_and,order_hold_all18_diagnostic,execution_error_any
qwen,F00_Full_NoShape,Q094,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q095,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q096,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q097,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q098,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q099,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q100,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q101,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q102,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q103,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q104,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q105,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q106,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q107,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q108,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q109,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q110,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q111,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q112,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q113,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q114,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q115,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q116,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q117,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q118,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q119,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q120,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q121,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q122,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q123,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q124,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q125,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q126,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q127,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q128,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q129,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q130,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q131,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q132,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q133,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q134,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q135,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q136,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q137,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q138,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q139,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q140,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q141,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q142,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q143,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q144,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q145,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q146,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q147,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q148,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q149,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q150,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q151,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q152,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q153,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q154,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q155,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q156,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q157,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q158,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q159,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q160,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q161,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q162,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q163,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q164,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q165,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q166,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q167,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q168,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q169,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q170,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q171,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q172,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q173,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q174,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q175,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q176,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q177,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q178,False,True,False,15,3,,,False,False
qwen,F00_Full_NoShape,Q179,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q180,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q181,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q182,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q183,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q184,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q185,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q186,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q187,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q188,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q189,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q190,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q191,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q192,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q193,True,False,True,15,3,True,True,,False
qwen,F00_Full_NoShape,Q194,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q195,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q196,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q197,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q198,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q199,True,False,True,15,3,False,False,,False
qwen,F00_Full_NoShape,Q200,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q021,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q022,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q023,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q024,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q025,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q026,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q027,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q028,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q029,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q030,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q031,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q032,False,True,False,15,3,,,False,True
qwen,F01_Full_WithShape,Q033,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q034,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q035,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q036,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q037,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q038,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q039,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q040,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q041,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q042,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q043,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q044,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q045,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q046,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q047,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q048,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q049,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q050,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q051,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q052,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q053,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q054,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q055,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q056,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q057,True,False,False,15,3,False,False,,False
qwen,F01_Full_WithShape,Q058,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q059,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q060,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q061,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q062,False,True,False,15,3,,,False,True
qwen,F01_Full_WithShape,Q063,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q064,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q065,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q066,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q067,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q068,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q069,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q070,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q071,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q072,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q073,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q074,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q075,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q076,False,True,False,15,3,,,False,True
qwen,F01_Full_WithShape,Q077,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q078,True,False,False,15,3,False,False,,False
qwen,F01_Full_WithShape,Q079,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q080,False,True,False,15,3,,,False,True
qwen,F01_Full_WithShape,Q081,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q082,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q083,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q084,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q085,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q086,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q087,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q088,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q089,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q090,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q091,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q092,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q093,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q094,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q095,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q096,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q097,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q098,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q099,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q100,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q101,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q102,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q103,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q104,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q105,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q106,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q107,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q108,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q109,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q110,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q111,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q112,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q113,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q114,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q115,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q116,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q117,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q118,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q119,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q120,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q121,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q122,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q123,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q124,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q125,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q126,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q127,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q128,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q129,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q130,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q131,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q132,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q133,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q134,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q135,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q136,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q137,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q138,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q139,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q140,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q141,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q142,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q143,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q144,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q145,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q146,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q147,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q148,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q149,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q150,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q151,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q152,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q153,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q154,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q155,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q156,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q157,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q158,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q159,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q160,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q161,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q162,False,True,True,15,3,,,False,False
qwen,F01_Full_WithShape,Q163,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q164,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q165,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q166,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q167,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q168,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q169,False,True,False,15,3,,,False,False
qwen,F01_Full_WithShape,Q170,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q171,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q172,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q173,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q174,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q175,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q176,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q177,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q178,False,True,True,15,3,,,True,False
qwen,F01_Full_WithShape,Q179,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q180,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q181,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q182,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q183,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q184,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q185,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q186,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q187,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q188,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q189,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q190,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q191,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q192,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q193,True,False,True,15,3,True,True,,False
qwen,F01_Full_WithShape,Q194,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q195,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q196,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q197,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q198,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q199,True,False,True,15,3,False,False,,False
qwen,F01_Full_WithShape,Q200,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q021,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q022,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q023,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q024,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q025,False,True,True,15,3,,,True,False
qwen,F10_Compact_NoShape,Q026,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q027,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q028,True,False,True,15,3,False,False,,False
qwen,F10_Compact_NoShape,Q029,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q030,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q031,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q032,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q033,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q034,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q035,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q036,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q037,False,True,True,15,3,,,False,False
qwen,F10_Compact_NoShape,Q038,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q039,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q040,False,True,True,15,3,,,False,False
qwen,F10_Compact_NoShape,Q041,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q042,False,True,True,15,3,,,True,False
qwen,F10_Compact_NoShape,Q043,False,True,True,15,3,,,False,False
qwen,F10_Compact_NoShape,Q044,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q045,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q046,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q047,False,True,True,15,3,,,True,False
qwen,F10_Compact_NoShape,Q048,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q049,True,False,True,15,3,False,False,,False
qwen,F10_Compact_NoShape,Q050,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q051,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q052,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q053,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q054,False,True,True,15,3,,,True,False
qwen,F10_Compact_NoShape,Q055,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q056,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q057,True,False,False,15,3,False,False,,False
qwen,F10_Compact_NoShape,Q058,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q059,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q060,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q061,False,True,True,15,3,,,False,False
qwen,F10_Compact_NoShape,Q062,False,True,True,15,3,,,False,False
qwen,F10_Compact_NoShape,Q063,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q064,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q065,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q066,False,True,True,15,3,,,True,False
qwen,F10_Compact_NoShape,Q067,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q068,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q069,False,True,True,15,3,,,False,False
qwen,F10_Compact_NoShape,Q070,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q071,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q072,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q073,False,True,True,15,3,,,False,False
qwen,F10_Compact_NoShape,Q074,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q075,False,True,True,15,3,,,True,False
qwen,F10_Compact_NoShape,Q076,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q077,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q078,True,False,False,15,3,False,False,,False
qwen,F10_Compact_NoShape,Q079,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q080,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q081,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q082,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q083,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q084,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q085,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q086,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q087,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q088,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q089,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q090,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q091,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q092,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q093,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q094,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q095,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q096,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q097,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q098,True,False,True,15,3,True,True,,False
qwen,F10_Compact_NoShape,Q099,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q100,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q101,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q102,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q103,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q104,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q105,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q106,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q107,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q108,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q109,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q110,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q111,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q112,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q113,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q114,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q115,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q116,False,True,False,15,3,,,False,True
qwen,F10_Compact_NoShape,Q117,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q118,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q119,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q120,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q121,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q122,False,True,False,15,3,,,False,False
qwen,F10_Compact_NoShape,Q123,False,True,False,15,3,,,False,False
